date,minute,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
20181123,09:58,09:58 AM,1531.89,1530.43,1531.16,200,306232,2,1533.026,1530,1531.423,10198,15617456.7243,289,1531.89,1530.43,1532.51,1530.327,0.009177879497902554,0.009219517435036677
20181123,09:59,09:59 AM,1530.21,1529.25,1530.182,103,157608.75,2,1531.15,1528.585,1529.893,15296,23401244.8154,406,1530.21,1529.25,1530.49,1528.78,0.008533285878588431,0.008211235685529467
20181123,10:00,10 AM,-1,-1,-1,0,0,0,1530.92,1528,1529.18,8364,12790060.79,273,,,1529.03,1530.13,,0.007741363210105534
20181123,10:01,10:01 AM,1526.99,1526.99,1526.99,2,3053.98,1,1530.47,1525.281,1527.139,12648,19315255.9725,356,1526.99,1526.99,1529.45,1526.241,0.0064294588511338785,0.006396328536416371
20181123,10:02,10:02 AM,1526.32,1526.32,1526.32,10,15263.2,5,1528.12,1525.01,1526.128,11106,16949180.6693,264,1526.32,1526.32,1526.25,1527.043,0.005987866085346065,0.005730071772526323
20181123,10:03,10:03 AM,-1,-1,-1,0,0,0,1529.57,1526.758,1528.147,8357,12770721.3663,203,,,1527.208,1528.59,,0.0070606082772682165
20181123,10:04,10:04 AM,-1,-1,-1,0,0,0,1529.412,1527,1527.939,7865,12017238.6257,214,,,1528.038,1527.47,,0.006923534679949682
20181123,10:05,10:05 AM,1526.4,1524.18,1525.63,163,248677.77,5,1527.93,1524,1525.473,13765,20998137.9588,388,1526.4,1524.18,1527.11,1524.793,0.005533091445952809,0.005298421742508542
20181123,10:06,10:06 AM,-1,-1,-1,0,0,0,1525.25,1522.07,1523.529,11274,17176270.2205,334,,,1524.552,1524.68,,0.004017310813722915
20181123,10:07,10:07 AM,1526.09,1524.47,1526.073,102,155659.41,3,1527.18,1523.73,1525.554,7274,11096877.3615,257,1526.09,1524.47,1524.86,1524.488,0.005825069946316947,0.005351801364541363
20181123,10:08,10:08 AM,1523.255,1523.02,1523.23,112,170601.74,2,1525.639,1521.49,1523.019,10113,15402289.1621,310,1523.02,1523.255,1525.29,1522.5,0.003951266613280157,0.0036812168972205116
20181123,10:09,10:09 AM,1525.46,1522.79,1524.322,389,592961.47,6,1525.507,1522.13,1523.778,15408,23478371.6449,377,1523.06,1525.46,1522.87,1524.35,0.004670996912146101,0.004181403725897636
