date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-02-26,184.58,185.66,183.2228,184.93,17599703,17599703,1.64,0.895,184.6453,"Feb 26, 18",0
2018-02-27,184.45,184.7,181.46,181.46,15849806,15849806,-3.47,-1.876,182.9592,"Feb 27, 18",-0.01876385659438706
2018-02-28,182.3,182.88,178.14,178.32,18783039,18783039,-3.14,-1.73,180.6723,"Feb 28, 18",-0.03574325420429359
2018-03-01,179.01,180.12,174.41,175.94,23201626,23201626,-2.38,-1.335,176.8269,"Mar 1, 18",-0.04861298869842648
2018-03-02,173.29,177.11,172.99,176.62,20025905,20025905,0.68,0.386,174.7315,"Mar 2, 18",-0.04493592170010275
2018-03-05,176.2,181.1475,175.89,180.4,16189280,16189280,3.78,2.14,179.182,"Mar 5, 18",-0.02449575515059753
2018-03-06,181.78,182.38,179.11,179.78,15086784,15086784,-0.62,-0.344,180.6286,"Mar 6, 18",-0.02784837506083386
2018-03-07,178.74,183.82,178.07,183.71,19097293,19097293,3.93,2.186,181.692,"Mar 7, 18",-0.0065970907911101434
2018-03-08,183.56,184.4,181.45,182.34,17225946,17225946,-1.37,-0.746,182.5612,"Mar 8, 18",-0.014005299302438778
2018-03-09,183.91,185.51,183.21,185.23,18526292,18526292,2.89,1.585,184.6875,"Mar 9, 18",0.0016222354404368299
2018-03-12,185.23,186.1,184.22,184.76,15301229,15301229,-0.47,-0.254,185.1165,"Mar 12, 18",-0.0009192667495810086
2018-03-13,185.61,185.99,181.11,181.88,18067477,18067477,-2.88,-1.559,182.769,"Mar 13, 18",-0.016492726977775436
2018-03-14,182.6,184.25,181.85,184.19,16821728,16821728,2.31,1.27,183.1376,"Mar 14, 18",-0.004001514086411123
2018-03-15,183.24,184,182.19,183.86,15645035,15645035,-0.33,-0.179,183.1171,"Mar 15, 18",-0.005785973070891652
2018-03-16,184.49,185.33,183.41,185.09,24403438,24403438,1.23,0.669,184.7227,"Mar 16, 18",0.0008651922348996733
2018-03-19,177.01,177.17,170.06,172.56,88140060,88140060,-12.53,-6.77,173.135,"Mar 19, 18",-0.06689017466068244
2018-03-20,167.47,170.2,161.95,168.15,129851768,129851768,-4.41,-2.556,165.6832,"Mar 20, 18",-0.09073703563510518
2018-03-21,164.8,173.4,163.3,169.39,106598834,106598834,1.24,0.737,169.124,"Mar 21, 18",-0.08403179581463267
2018-03-22,166.13,170.27,163.72,164.89,73742979,73742979,-4.5,-2.657,166.4471,"Mar 22, 18",-0.1083653274211865
2018-03-23,165.44,167.1,159.02,159.39,53609706,53609706,-5.5,-3.336,162.5915,"Mar 23, 18",-0.13810631049586342
2018-03-26,160.82,161.1,149.02,160.06,126116634,126116634,0.67,0.42,154.8654,"Mar 26, 18",-0.13448331801222085
2018-03-27,156.31,162.85,150.75,152.22,79116995,79116995,-7.84,-4.898,156.7059,"Mar 27, 18",-0.17687773752230576
2018-03-28,151.65,155.88,150.8,153.03,60029170,60029170,0.81,0.532,153.3646,"Mar 28, 18",-0.17249770183312607
2018-03-29,155.15,161.42,154.14,159.79,59434293,59434293,6.76,4.417,158.507,"Mar 29, 18",-0.13594332990861416
2018-04-02,157.81,159.2,154.111,155.39,36795991,36795991,-4.4,-2.754,155.9295,"Apr 2, 18",-0.1597361163683557
2018-04-03,156.55,157.39,150.81,156.11,42543865,42543865,0.72,0.463,154.6709,"Apr 3, 18",-0.15584275131130693
2018-04-04,152.025,155.56,150.51,155.1,49885584,49885584,-1.01,-0.647,153.1867,"Apr 4, 18",-0.16130427729411134
