date,minute,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
20181123,09:50,09:50 AM,263.15,262.77,262.817,203,53351.95,3,263.587,262.524,262.929,36981,9723377.517,311,263.15,262.855,263.351,262.6,0.01074909046157639,0.010022280270436312
20181123,09:51,09:51 AM,262.81,262.09,262.36,500,131180,5,262.91,262.05,262.511,30118,7906298.1342,249,262.505,262.81,262.902,262.736,0.008991546869111161,0.008416564228641791
20181123,09:52,09:52 AM,262.9,262.67,262.757,282,74097.44,5,263.17,262.408,262.868,25149,6610866.257,245,262.9,262.685,262.89,262.96,0.010518340755782256,0.00978795328826061
20181123,09:53,09:53 AM,263.74,262.83,263.368,448,117988.78,6,263.94,262.72,263.394,26682,7027875.4253,253,262.83,263.58,262.75,263.883,0.012868141926452392,0.01180854333128462
20181123,09:54,09:54 AM,263.4,262.5,262.892,519,136441.11,6,263.591,262.39,262.805,20052,5269765.4611,261,263.4,262.59,263.41,262.6,0.011037527593819003,0.009545943454210256
20181123,09:55,09:55 AM,263.5,263.07,263.252,300,78975.5,3,263.75,262.61,263.11,15968,4201345.34,155,263.07,263.185,262.61,263.25,0.012422025828583805,0.0107175783650892
20181123,09:56,09:56 AM,263.98,263.25,263.659,230,60641.5,3,264.27,263.06,263.691,19745,5206576.1687,239,263.25,263.95,263.28,263.95,0.013987277999553887,0.012949446834664955
20181123,09:57,09:57 AM,263.805,263.79,263.796,270,71224.8,3,264.1,263.56,263.856,9509,2509009.3553,207,263.79,263.79,263.8,263.56,0.014514156494450474,0.013583282114320841
20181123,09:58,09:58 AM,263.585,263.21,263.414,500,131707,6,263.95,263.122,263.461,15111,3981155.3305,195,263.585,263.21,263.95,263.225,0.013045050034227857,0.012065918869084279
20181123,09:59,09:59 AM,263.19,263.1,263.145,200,52629,2,263.37,262.39,262.954,23015,6051876.021,281,263.1,263.19,263.2,262.54,0.012010522186584176,0.01011831591886914
20181123,10:00,10 AM,262.82,262.23,262.459,411,107870.81,5,262.88,262.17,262.529,23179,6085154.5024,242,262.43,262.82,262.583,262.8,0.009372283883671428,0.008485709895513227
20181123,10:01,10:01 AM,262.72,261.625,262.112,700,183478.5,7,262.79,261.46,261.952,36750,9626740.8446,341,262.72,261.625,262.72,261.68,0.00803778141849548,0.006269207129686559
20181123,10:02,10:02 AM,261.49,261.25,261.335,296,77355.28,5,261.94,261.13,261.479,32201,8419878.7846,395,261.25,261.49,261.51,261.3,0.005049572728461392,0.004452212661339858
20181123,10:03,10:03 AM,262.09,261.53,261.873,647,169431.81,8,262.25,261.367,261.835,30984,8112689.6467,445,261.53,261.87,261.5,261.659,0.007118628423748757,0.00581976029502146
20181123,10:04,10:04 AM,261.67,261.34,261.497,625,163435.5,7,261.9,261.27,261.508,22018,5757892.9361,294,261.62,261.34,261.9,261.49,0.005672596934105664,0.004563614013521774
20181123,10:05,10:05 AM,261.12,260.955,261.032,300,78309.5,3,261.61,260.55,260.928,43897,11453962.1291,397,261.12,261.02,261.25,260.9,0.0038842867142010714,0.0023355869698832364
20181123,10:06,10:06 AM,260.595,260.24,260.474,237,61732.38,3,261.02,260.14,260.531,25418,6622166.4182,352,260.595,260.24,260.9,260.46,0.0017383144503157356,0.0008105408727720219
20181123,10:07,10:07 AM,261.18,260.57,260.82,552,143972.72,6,261.35,260.4,260.885,18488,4823234.0198,272,260.57,260.84,260.456,260.4,0.003068971087061871,0.002170405654578971
20181123,10:08,10:08 AM,260.52,260,260.154,352,91574.32,7,260.9,259.61,260.053,68593,17837845.8057,660,260.52,260.23,260.75,260.105,0.0005076493527470945,-0.0010256607252612012
20181123,10:09,10:09 AM,260.23,260,260.122,450,117055,6,260.39,259.84,260.026,27578,7171000.3608,280,260,260.23,260.04,260.2,0.00038458284299029596,-0.0011293792255684647
20181123,10:10,10:10 AM,260.88,259.8,260.279,858,223319.64,11,261.06,259.39,260.112,74708,19432474.44,605,260.34,259.8,259.93,260.04,0.0009883779064848552,-0.0007990165949599339
